Time [s],Voltage [V],Capacity [A.h],Chemistry
0.0,3.5177031231904006,0.0,LFP
0.0024226101547949446,3.51749821018159,1.547778710007881e-06,LFP
0.004845220309589889,3.517294050616792,3.095557420015762e-06,LFP
0.009690440619179778,3.516887631660376,6.191114840031524e-06,LFP
0.019380881238359557,3.5160837919907375,1.2382229680063049e-05,LFP
0.038761762476719114,3.5145094567375037,2.4764459360126098e-05,LFP
0.07752352495343823,3.511489900135631,4.9528918720252195e-05,LFP
0.15504704990687646,3.505910085454338,9.905783744050439e-05,LFP
0.23257057486031468,3.5008716068501227,0.0001485867561607566,LFP
0.38761762476719114,3.4920499710779707,0.000247644593601261,LFP
0.5426646746740675,3.484584069343607,0.0003467024310417654,LFP
0.697711724580944,3.4781369184751654,0.00044576026848226974,LFP
0.8527587744878204,3.4724646887978805,0.0005448181059227741,LFP
1.0078058243946968,3.4674128792231356,0.0006438759433632785,LFP
1.1628528743015734,3.462839157915467,0.0007429337808037828,LFP
1.4729469741153263,3.454784670112275,0.0009410494556847916,LFP
1.7830410739290792,3.44776518986276,0.0011391651305658003,LFP
2.093135173742832,3.441494243165599,0.001337280805446809,LFP
2.403229273556585,3.4358338329465683,0.0015353964803278177,LFP
2.713323373370338,3.430689343361039,0.0017335121552088265,LFP
3.333511572997844,3.4215780513862235,0.002129743504970844,LFP
3.9536997726253498,3.41362961917072,0.0025259748547328616,LFP
4.573887972252855,3.406531670564094,0.002922206204494879,LFP
5.194076171880361,3.4001036480214775,0.0033184375542568965,LFP
5.814264371507868,3.3942278918394018,0.003714668904018914,LFP
6.434452571135374,3.3888150738909717,0.004110900253780932,LFP
7.05464077076288,3.383797054460944,0.004507131603542949,LFP
8.295017170017893,3.3747350195395422,0.005299594303066984,LFP
9.535393569272905,3.3667272700954225,0.006092057002591019,LFP
10.775769968527918,3.3595617194041374,0.006884519702115054,LFP
12.01614636778293,3.353085137518327,0.007676982401639089,LFP
13.256522767037943,3.347183311146919,0.008469445101163124,LFP
15.737275565547966,3.3367756758678464,0.010054370500211194,LFP
18.21802836405799,3.327856523136557,0.011639295899259263,LFP
