Time [s],Voltage [V],Capacity [A.h],Chemistry,Battery_ID
0.0,3.5158610638935732,0.0,LFP,1
0.0024226101547949,3.517035713340542,1.4603299516617345e-06,LFP,1
0.0048452203095898,3.5213139094871075,2.920659903323469e-06,LFP,1
0.0096904406191797,3.520465155904666,5.841319806646938e-06,LFP,1
0.0193808812383595,3.5142478944979914,1.1682639613293876e-05,LFP,1
0.0387617624767191,3.521353139964963,2.336527922658775e-05,LFP,1
0.0775235249534382,3.5090188230721147,4.67305584531755e-05,LFP,1
0.1550470499068764,3.509151662557839,9.3461116906351e-05,LFP,1
0.2325705748603146,3.5035605950619364,0.0001401916753594731,LFP,1
0.3876176247671911,3.492709078016462,0.00023365279226581994,LFP,1
0.5426646746740675,3.4867038441085656,0.00032711390917216683,LFP,1
0.697711724580944,3.4761031095083625,0.00042057502607851366,LFP,1
0.8527587744878204,3.4767668960357825,0.0005140361429848604,LFP,1
1.0078058243946968,3.4606259664181485,0.0006074972598912073,LFP,1
1.1628528743015734,3.457414076745256,0.0007009583767975542,LFP,1
1.4729469741153265,3.4524277824194263,0.000887880610610248,LFP,1
1.7830410739290792,3.444714221010167,0.0010748028444230362,LFP,1
2.093135173742832,3.439259024417115,0.0012617250782357297,LFP,1
2.403229273556585,3.4395222733032056,0.0014486473120484235,LFP,1
2.713323373370338,3.4365548932617793,0.0016355695458611173,LFP,1
3.333511572997844,3.419490024153173,0.0020094140134865046,LFP,1
3.9536997726253498,3.4094921628116284,0.002383258481111892,LFP,1
4.573887972252855,3.4111353614767426,0.0027571029487372797,LFP,1
5.194076171880361,3.4008879062925264,0.0031309474163626672,LFP,1
5.814264371507868,3.398747066649814,0.003504791883988149,LFP,1
6.434452571135374,3.3886063695334108,0.003878636351613536,LFP,1
7.05464077076288,3.3750452858515825,0.0042524808192389235,LFP,1
8.295017170017893,3.3650239743590555,0.005000169754489699,LFP,1
9.535393569272903,3.3670614721736056,0.005747858689740567,LFP,1
10.775769968527918,3.361885326911961,0.0064955476249913425,LFP,1
12.01614636778293,3.3512344241632164,0.007243236560242118,LFP,1
13.256522767037945,3.349646792309926,0.007990925495492986,LFP,1
15.737275565547966,3.3393501292135417,0.009486303365994537,LFP,1
18.21802836405799,3.3257640650022235,0.01098168123649618,LFP,1
20.69878116256801,3.316618244846282,0.012477059106997824,LFP,1
23.179533961078036,3.32336000767108,0.013972436977499468,LFP,1
25.66028675958806,3.2994953223883305,0.015467814848001016,LFP,1
28.14103955809809,3.3063793902318883,0.016963192718502662,LFP,1
30.62179235660811,3.2906173821683864,0.018458570589004308,LFP,1
33.102545155118136,3.292303629350029,0.019953948459505856,LFP,1
38.064050752138186,3.28523235488798,0.022944704200509144,LFP,1
43.02555634915824,3.2776560789969342,0.025935459941512338,LFP,1
47.98706194617829,3.283192991355342,0.028926215682515626,LFP,1
52.94856754319834,3.2755963696292336,0.03191697142351882,LFP,1
57.91007314021839,3.2655223172995296,0.034907727164522014,LFP,1
62.87157873723844,3.2511760164853896,0.037898482905525305,LFP,1
67.83308433425849,3.2621828169877305,0.04088923864652849,LFP,1
